Model Name,Sculpt Variant,Variant Name,Factions,Keywords,Base Size,Station,Characteristics,Soulstone Cost,Box Names
Mossbeard,M3E,,Bayou,"Angler, Infamous",30mm,Unique,"Unique, Living",7,
Swashbuckler A,M3E,,Bayou,"Angler, Infamous",30mm,Minion,Living,4,
Swashbuckler B,M3E,,Bayou,"Angler, Infamous",30mm,Minion,"Unique, Living",4,
Toast,M3E,,Bayou,"Infamous, Jockey",50mm,Unique,"Living, Undead, Versatile",6,
Bayou Smuggler A,M3E,,Bayou,Infamous,30mm,Minion,"Living, Versatile",5,
Bayou Smuggler B,M3E,,Bayou,Infamous,30mm,Minion,"Living, Versatile",5,
"Captain Zipp, Cloudchaser",M4E,,Outcasts,Infamous,30mm,Master,"Unique, Living",,
"Captain Zipp, Cloudchaser",Twisted Alternatives,Dr. Lovebomb,Outcasts,Infamous,30mm,Master,"Unique, Living",,
"Captain Zipp, Cloudchaser",M3E,,Outcasts,Infamous,30mm,Master,"Unique, Living",,
Earl Burns,M3E,,Outcasts,Infamous,30mm,Totem,"Unique, Living",,
Earl Burns,M4E,,Outcasts,Infamous,30mm,Totem,"Unique, Living",,
"Captain Zipp, Dread Pirate",M3E,,Outcasts,Infamous,30mm,Master,"Unique, Living",,
Mancha Roja,M3E,,Outcasts,Infamous,40mm,Totem,"Unique, Living",,
The First Mate,M3E,,Outcasts,Infamous,40mm,Unique,"Henchman, Unique, Living",9,
The First Mate,M4E,,Outcasts,Infamous,40mm,Unique,"Henchman, Unique, Living",9,
The First Mate,Alternate,The Eighth Mate,Outcasts,Infamous,40mm,Unique,"Henchman, Unique, Living",9,
Gracie,M3E,,Outcasts,Infamous,50mm,Unique,"Unique, Living, Beast",8,
Wrastler A,M3E,,Outcasts,Infamous,30mm,Minion,Living,7,
Wrastler B,M3E,,Outcasts,Infamous,30mm,Minion,Living,7,
Wrastler C,M3E,,Outcasts,Infamous,30mm,Minion,Living,7,
Burt Jebsen,M3E,,Outcasts,Infamous,30mm,Unique,"Henchman, Unique, Living",6,
Iron Wing A,M4E,,Outcasts,Infamous,40mm,Minion,Living,6,
Iron Wing B,M4E,,Outcasts,Infamous,40mm,Minion,Living,6,
Iron Wing C,M4E,,Outcasts,Infamous,40mm,Minion,Living,6,
Iron Wing D,M3E,Iron Skeeter A,Outcasts,Infamous,40mm,Minion,Living,6,
Iron Wing E,M3E,Iron Skeeter B,Outcasts,Infamous,40mm,Minion,Living,6,
Iron Wing F,M3E,Iron Skeeter C,Outcasts,Infamous,40mm,Minion,Living,6,
